file,question,answer,answer_start,answer_end
1345160.txt,กองทุนรวมคุ้มครองเงินต้น (Capital Protection Fund) คืออะไร,เป็นกองทุนที่มุ่งเน้นการรักษาเงินต้น จึงเน้นการลงทุนในตราสารหนี้ระยะสั้น และความน่าเชื่อถือสูง (คล้ายกองทุนรวมตลาดเงิน แต่แสดงวัตถุประสงค์ชัดเจนว่ามุ่งเน้นการคุ้มครองเงินต้น),12966,13139
1345173.txt,ตราสารหนี้ที่ผู้ลงทุนมีสิทธิเรียกคืนเงินกู้ก่อนครบกำหนด (Puttable Bond) คืออะไร,หุ้นกู้ที่ให้สิทธิกับผู้ลงทุนเรียกคืนเงินกู้ก่อนครบกำหนด โดยราคาที่เรียกคืนนี้เรียกว่า Put Price ซึ่งโดยทั่วไป Put Price จะเท่ากับ Par Value ทั้งนี้ลงทุนมักใช้สิทธิในการเรียกคืนเงินเมื่ออัตราดอกเบี้ยในตลาดปรับตัวสูงขึ้น เพื่อนำเงินที่ได้รับคืน ไปลงทุนตราสารหนี้ใหม่ที่ให้อัตราดอกเบี้ยสูงกว่า และเนื่องจาก Puttable Bond ให้สิทธิกับผู้ลงทุน ดังนั้นจึงมีดอกเบี้ยต่ำกว่าหุ้นกู้ที่ไม่มีสิทธิแฝง,6507,6895
1345150.txt,ข้อเสียของ Book Value (มูลค่าตามบัญชี) คืออะไร,สินทรัพย์ที่บันทึกในบัญชีนั้นอาจไม่เท่ากับราคาตลาด เช่น บริษัทอาจบันทึกราคาที่ดิน 10 ล้านบาท ซึ่งเป็นราคาที่ซื้อมาเมื่อ 10 ปีแล้ว,535,663
1345171.txt,มูลค่าหน้าตั๋ว/มูลค่าที่ตราไว้ (Face Value/Par Value) คืออะไร,"เงินที่ผู้ลงทุนจะได้รับคืนเมื่อครบกำหนด ซึ่งโดยปกติแล้วตราสารหนี้จะมีมูลค่าหน้าตั๋วเท่ากับ 1,000 บาท",157,256
1345138.txt,การรับซื้อหลักทรัพย์ที่เหลือเพื่อขายต่อ คืออะไร,เป็นการจัดจำหน่ายที่ผู้จัดจำหน่ายให้สิทธิกับผู้ออกตราสารหนี้ ในกรณีที่ตราสารหนี้ไม่สามารถจัดจำหน่ายได้ทั้งหมด  ผู้ออกตราสารมีสิทธิที่จะให้ผู้จัดจำหน่ายซื้อตราสารหนี้ส่วนที่เหลือโดยราคารับซื้อจะเป็นที่ต่ำกว่าราคา IPO,3199,3413
1345150.txt,Asset Based Approach คืออะไร,เป็นการประเมินมูลค่าของหุ้นจากสินทรัพย์ของบริษัท,151,198
1345197.txt,ความเสี่ยงต่อผลการดำเนินงานของกิจการ คืออะไร,เมื่อกิจการมีผลกำไรที่ลดลง หรือ ต่ำกว่าที่ผู้ลงทุนส่วนใหญ่คาดการณ์ไว้ ราคาของหุ้นก็มักปรับตัวลดลง,123,219
1345200.txt,สูตรการคำนวณ อัตราผลตอบแทนรวม คืออะไร,อัตราผลตอบแทนรวม = (เงินปันผล + ราคาปลายงวด – ราคาต้นงวด) / ราคาต้นงวด,294,363
1345158.txt,หนังสือชี้ชวนส่วนสรุปข้อมูลสำคัญ (Fund Fact Sheet) ทำให้ผู้ลงทุนทราบอะไรบ้าง,"-	คุณกำลังจะลงทุนอะไร
				-	กองทุนรวมนี้เหมาะกับใคร
				-	คุณต้องระวังอะไรเป็นพิเศษ
				-	สัดส่วนของสินทรัพย์ที่ลงทุน
				-	ค่าธรรมเนียมกองทุน
				-	ผลการดำเนินงานในอดีตของกองทุน",1194,1371
1345188.txt,มาตรการการป้องกันไม่ให้เกิดการซื้อขายที่ไม่เป็นธรรม มีอะไรบ้าง,"1)	การส่งคำสั่งซื้อขายที่ไม่เหมาะสม เนื่องจากการส่งคำสั่งซื้อขายของผู้ลงทุนต้องทำผ่านสมาชิก (บล.) ตลาดหลักทรัพย์ฯ จึงทำความเข้าใจกับสมาชิกเกี่ยวกับลักษณะของคำสั่งซื้อขายที่ไม่เหมาะสม
		2)	การตรวจสอบระดับของปริมาณการซื้อขายของหลักทรัพย์ที่ผิดปกติ เมื่อตรวจพบ ตลาดหลักทรัพย์ฯ จะติดต่อไปยัง บล. เพื่อให้ บล. กำกับดูแลผู้ลงทุนที่ทำให้เกิดการซื้อขายผิดปกติ โดย บล. อาจดำเนินการให้ลูกค้าต้องใช้บัญชี Cash Balance ในการซื้อหลักทรัพย์ มาตรการ Cash Balance จะทำให้ลูกค้าต้องนำเงินมาเข้าบัญชีก่อน ซึ่งอาจทำให้วงเงินในการซื้อหลักทรัพย์ลดลงและไม่สามารถกู้เงินมาซื้อหลักทรัพย์ผ่านบัญชี Credit Balance ได้
		3)	การแจ้งเตือนผู้ลงทุนว่าหลักทรัพย์ใดมีปริมาณการซื้อขายที่ผิดปกติ (Trading alert) โดยตลาดหลักทรัพย์ฯ จะแสดงรายชื่อหลักทรัพย์ที่มีปริมาณการซื้อขายผิดปกติใน Trading alert list เป็นรายวัน ผ่านเว็บไซต์ของตลาดหลักทรัพย์ฯ
		4)	การกำหนดให้ลูกค้าต้องใช้บัญชี Cash Balance ให้ลูกค้าทุกคนใช้บัญชี Cash Balance ในการลงทุนในหุ้นที่มีปริมาณการซื้อขายผิดปกติ เพื่อลดความเสี่ยงให้กับผู้ลงทุนและลดปริมาณการซื้อขายหลักทรัพย์ที่ผิดปกติ
		5)	การจัดการกับข้อมูลสำคัญที่ยังไม่เปิดเผย เช่น การกำหนดให้บริษัทจดทะเบียนแสดงข้อเท็จจริงเกี่ยวกับข่าวลือต่างๆ เพื่อป้องกันการใช้ข้อมูลภายในของบริษัทมาแสวงหาผลประโยชน์",366,1547
1345179.txt,สิทธิประโยชน์ของผู้ถือ NVDR มีอะไรบ้าง,"1.	นักลงทุนต่างชาติสามารถลงทุนได้โดยไม่ติด Foreign Limit แต่กรณีลงทุนในสถาบันการเงิน ต่างชาติจะถือหุ้นและ NVDR รวมกันได้ไม่เกิน 10%
	2.	ผู้ถือ NVDR มีสิทธิเหมือนการถือหลักทรัพย์อ้างอิง ยกเว้นสิทธิ Vote
	3.	สามารถเปลี่ยน NVDR เป็นหลักทรัพย์อ้างอิง
	4.	สิทธิประโยชน์ทางภาษี ผู้ลงทุนประเภทบุคคคลธรรมดา และนิติบุคคล",1486,1796
1345191.txt,บทวิเคราะห์เชิงลึกควรมีองค์ประกอบเพิ่มเติมอะไรบ้าง,"1)	ปัจจัยสำคัญที่มีผลต่อกำไรของบริษัท
		2)	การวิเคราะห์ภาพรวมของอุตสาหกรรม และคู่แข่ง
		3)	สมติฐานที่ใช้ในหาราคาเป้าหมายของหลักทรัพย์ (มูลค่าของหลักทรัพย์)
		4)	Sensitivity analysis โดยการแสดงราคาเป้าหมายในกรณีที่ปัจจัยต่างๆ ดีกว่า, เท่ากับ หรือแย่กว่าที่คาดการณ์ (Best, Base, Worst)",2044,2326
1345140.txt,ตลาดหลักทรัพย์แห่งประเทศไทย ให้ข้อมูลอะไรบ้าง,"*	ให้ข้อมูลเกี่ยวกับตราสารทุนและตราสารหนี้ เช่น ข้อมูลบริษัทผู้ออก, ข่าวสาร
	*	ให้ข้อมูลเกี่ยวกับตลาดตราสารทุนและตลาดตราสารหนี้ เช่น ข้อมูลการเคลื่อนไหวของราคา, มูลค่าการซื้อขาย",1865,2041
1345200.txt,สูตรการคำนวณ Capital gain คืออะไร,Capital gain = (ราคาปลายงวด – ราคาต้นงวด) / ราคาต้นงวด,198,251
1345160.txt,Fund of Funds คืออะไร,กองทุนรวมที่ลงทุนในกองทุนรวมหลายๆ กองทุน,14207,14246
1345160.txt,ประเภทของกองทุนรวม แบ่งตามเกณฑ์มีกี่เกณฑ์,5 เกณฑ์,179,185
1345201.txt,ความเสี่ยงจากผู้จัดการกองทุน (Fund manager risk) คืออะไร,"ความเสี่ยงด้านนี้จะสูงหากกองทุนบริหารแบบเชิงรุก (Active Management) ซึ่งมีการพึ่งพาความสามารถของผู้จัดการกองทุน โดยผู้จัดการกองทุนอาจตัดสินลงทุนใจผิดพลาด, เกิดอุบัติเหตุ, หรือการย้ายงานได้",2203,2390
1345160.txt,รายได้หลักของกองทุนรวมโครงสร้างพื้นฐานมาจากที่ใด,การเก็บค่าเช่าหรือค่าบริการโครงสร้างพื้นฐาน,11387,11429
1345136.txt,ธุรกรรมซื้อคืน คืออะไร,การขายตราสารหนี้โดยมีสัญญาว่าจะซื้อคืน ธุรกรรมซื้อคืนนี้เปรียบเสมือนการกู้ยืมโดยมีตราสารหนี้เป็นหลักทรัพย์ค้ำประกันนั่นเอง,6877,6998
1345195.txt,Large-cap Stock คืออะไร,"หุ้นที่มีมูลค่าตลาด 10,000 – 200,000 ล้านดอลลาร์",3695,3742
1345146.txt,อัตราดอกเบี้ยนโยบาย คืออะไร,อัตราดอกเบี้ยที่ธนาคารกลาง (สำหรับประเทศไทย ธนาคารกลาง หมายถึง ธนาคารแห่งประเทศไทย) กำหนดขึ้นเพื่อให้ดอกเบี้ยอื่นๆ ได้อ้างอิง,304,428
1345144.txt,อัตราผลตอบแทนถึงวันครบกำหนด คืออะไร,อัตราผลตอบแทนที่ผู้ลงทุนจะได้รับหากซื้อตราสารหนี้และถือจนครบกำหนดอายุ,1417,1485
1345188.txt,บทลงโทษตามความผิดของ พรบ. หลักทรัพย์และตลาดหลักทรัพย์ มีอะไรบ้าง,"*	ก.ล.ต. เป็นผู้ตรวจสอบข้อเท็จจริงว่าบุคคลหรือกลุ่มบุคคลทำการซื้อขายที่ไม่เป็นธรรมหรือไม่
		*	บทลงโทษมี 2 ทาง ซึ่งขึ้นอยู่กับความร้ายแรงในการกระทำผิด
			-	ความผิดอาญา
			-	ความผิดทางแพ่ง บทลงโทษจะเป็น, การเสียค่าปรับ, ห้ามซื้อขายหลักทรัพย์ไม่เกิน 5 ปี, ห้ามเป็นกรรมการหรือผู้บริหารบริษัทที่จดทะเบียนในตลาดฯ ไม่เกิน 10 ปี เป็นต้น",4275,4602
1345136.txt,ใครเป็นผู้ออกตราสารหนี้ภาครัฐ ไร้ใบตราสาร,ศูนย์รับฝากหลักทรัพย์ (TSD),7515,7541
1345173.txt,ตราสารศุกูก (Sukuk) คืออะไร,ตราสารทางการเงินตามหลักชาริอะห์ (shariah) ของอิสลาม มีลักษณะคล้ายตราสารหนี้ แต่เนื่องจากโครงสร้างตราสารหนี้ที่ผู้ลงทุนเป็นเจ้าหนี้ และการรับผลตอบแทนในรูปดอกเบี้ยนั้นผิดหลักชาริอะห์ ผู้ลงทุนใน Sukuk จะมีฐานะเป็นเจ้าของสินทรัพย์หรือโครงการ และรับผลตอบแทนจากกระแสเงินสดที่สินทรัพย์หรือโครงการนั้นทำได้,10390,10687
1345195.txt,Value Stock หุ้นคุณค่า มีลักษณะอบ่างไร,"*	หุ้นที่มีค่า P/E Ratio และ P/B Ratio ต่ำ เนื่องจากผู้ลงทุนคาดการณ์การเติบโตต่ำหรือติดลบ
				*	อัตราผลตอบแทนจากปันผลสูง (Dividend Yield) (Dividend Yield = เงินปันผล / ราคาหุ้น ดังนั้นเมื่อราคาหุ้นถูกทำให้ Dividend Yield สูง) เนื่องจากราคาหุ้นถูก",1866,2111
1345142.txt,ขายตราสารหนี้ เมื่อใด,ขาย เมื่อราคาที่เหมาะสม < ราคาที่ซื้อขายในปัจจุบัน (ราคาตลาด),278,338
1345160.txt,REITs คืออะไร,กองประเภททรัสต์ ซึ่งมีลักษณะเป็น “กองทรัพย์สิน” (ไม่ใช่กองทุนรวม และไม่ถือเป็นนิติบุคคล) ที่จะนำเงินไปลงทุนในอสังหาฯ (อาจซื้อหรือเช่าระยะยาว) และสร้างรายได้หลักจากปล่อยเช่า,9127,9298
1345173.txt,Cap คืออะไร,การกำหนดเพดานขั้นสูงของอัตราดอกเบี้ย เพื่อให้ผู้ออกตราสารใช้ป้องกันความเสี่ยง ไม่ให้อัตราดอกเบี้ยขึ้นสูงเกินกว่าระดับที่ตนเองรับได้,4093,4223
1345195.txt,Blue-Chip Stock หุ้นใหญ่แข็งแกร่ง มีลักษณะอย่างไร,"*	เป็นหุ้นของกิจการขนาดใหญ่ที่ก่อตั้งมานาน
				*	มักมีฐานะทางการเงินแข็งแกร่งและเป็นผู้นำตลาด
				*	มีกำไรและจ่ายปันผลสม่ำเสมอ
				*	เป็นหุ้นที่อยู่ในดัชนี SET50 (ดัชนี SET 50 คือ ดัชนีที่ประกอบด้วยหุ้นไทยที่มีขนาดใหญ่ที่สุด 50 บริษัท และมีสภาพคล่องในการซื้อขาย)",1210,1471
1345173.txt,ราคาหุ้นสามัญลดลง ส่งผลอย่างไรกับราคาหุ้นกู้แปลงสภาพ,ราคาหุ้นกู้แปลงสภาพจะลดลงถึงระดับหนึ่งเท่านั้น และในระดับนี้ราคาหุ้นกู้แปลงสภาพจะมีลักษณะเหมือนหุ้นกู้ที่ไม่มีสิทธิแฝงทั่วไป เนื่องจากราคาหุ้นสามัญอยู่ในระดับที่ต่ำ จนผู้ลงทุนเลิกคาดหวังว่าตนเองจะได้กำไรจากการแปลงสภาพ,7371,7587
1345158.txt,ประโยชน์ของกองทุนรวมต่อผู้ลงทุน คืออะไร,"*	ช่วยลดเวลาการติดตามการลงทุน เนื่องจากมีผู้เชี่ยวชาญช่วยดูแล
		*	เงินลงทุนน้อย (ส่วนใหญ่ใช้เงินเริ่มต้นลงทุนเพียง 500 – 1000 บาท) แต่กระจายการลงทุนได้ เนื่องจากกองทุนมักนำเงินไปลงทุนในหลักทรัพย์หลากหลาย ทำให้มีการกระจายการลงทุนที่ดี",3413,3645
1345173.txt,MLR (Minimum Load Rate) คืออะไร,อัตราดอกเบี้ยที่ธนาคารเรียกเก็บจากลูกค้าชั้นดี มีหลักทรัพย์ค้ำประกัน,3507,3574
1345160.txt,กองทุนรวม ETF (Exchange Trade Fund) คืออะไร,เป็นกองทุนดัชนีประเภทหนึ่งที่มีกลยุทธ์การบริหารแบบเชิงรับ และเป็นกองทุนเปิดที่จดทะเบียนซื้อขายในตลาดหลักทรัพย์,21813,21922
1345187.txt,การขอเปิดบัญชีหลักทรัพย์ต้องมีข้อมูลเกี่ยวกับลูกค้าอะไรบ้าง,"1)	วัตถุประสงค์การลงทุน
		2)	ระดับความรู้และประสบการณ์ลงทุนในหลักทรัพย์
		3)	ฐานะทางการเงินและภาระหนี้สิน",762,866
1345160.txt,กองทุนรวมแบบมีประกัน (Guarantee Fund) คืออะไร,กองทุนรวมที่มีการรับประกันเงินต้น หรือผลตอบแทนให้กับผู้ลงทุน โดย บลจ. เป็นผู้จัดหาผู้รับประกัน ทั้งนี้ผู้รับประกันต้องเป็นสถาบันการเงินที่มีคุณสมบัติตามที่ ก.ล.ต. กำหนด,13339,13506
1345193.txt,ประเภทของธุรกิจในไทย มีกี่ประเภท,5 ประเภท,73,80
1345201.txt,ความเสี่ยงจากความผันผวนของราคากองทุน (Market risk) คืออะไร,ความผันผวนของราคาหรือมูลค่าหน่วยลงทุน ซึ่งความผันผวนของราคากองทุนเกิดจากความผันผวนของสินทรัพย์ที่กองทุนไปลงทุนนั้นเอง โดยระดับความผันผวนสามารถวัดได้ด้วยส่วนเบี่ยงเบนมาตรฐาน (Standard Deviation),156,348
1345191.txt,SETSMART Enterprise มีอะไรบ้าง,"*	สำหรับผู้ใช้งานองค์กร
			*	ใช้งานผ่านเครือข่าย Intranet ขององค์กรเอง (องค์กรที่ใช้ SETSMART Enterprise ส่วนใหญ่เป็น บริษัทหลักทรัพย์)",1009,1143
1345146.txt,หากผู้ลงทุนคาดว่าอัตราเงินเฟ้อในอนาคตจะสูงขึ้น จะส่งผลอย่างไร,ผู้ลงทุนจะต้องการผลตอบแทนจากตราสารหนี้สูงขึ้นเพื่อชดเชยกับเงินเฟ้อ,803,868
1345138.txt,ผู้ค้าตราสารหนี้สร้างรายได้จากที่ใด,สร้างรายได้จากส่วนต่างราคาซื้อขาย,2366,2398
1345173.txt,หุ้นกู้ระหว่างประเทศ (International Bond) คืออะไร,หุ้นกู้ที่ผู้ออกอยู่ในประเทศหนึ่งแต่จำหน่ายในอีกประเทศหนึ่ง,8465,8523
1345175.txt,Equity-Linked Product ที่ซื้อขายในตลาดหลักทรัพย์ มีประเภทใดบ้าง,"1.	ใบสำคัญแสดงสิทธิอนุพันธ์ (Derivative Warrant: DW)
	2.	ใบสำคัญแสดงสิทธิ (Warrant)
	3.	ใบสำคัญแสดงสิทธิซื้อหุ้นเพิ่มทุนที่โอนสิทธิได้ (Transferable Subscription Right :TSR)
	4.	ใบสำคัญแสดงสิทธิในประโยชน์ที่เกิดจากหลักทรัพย์อ้างอิงไทย (Non-Voting Depository Receipt: NVDR)
	5.	ใบสำคัญแสดงสิทธิในประโยชน์ที่เกิดจากหลักทรัพย์อ้างอิง (Depository Receipts: DR)",550,905
1345195.txt,เกณฑ์ในการแบ่งประเภทหุ้นสามัญมีอะไรบ้าง,1. แบ่งตามเกณฑ์ลักษณะของหุ้นสามัญ 2. แบ่งตามเกณฑ์ขนาดของหุ้นสามัญ,1040,1104
1345138.txt,สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์ (ก.ล.ต.) มีหน้าที่อะไร,กำกับดูแลและพัฒนาตลาดทุนทั้งตลาดแรกและตลาดรอง,4418,4462
1345183.txt,12.30 – 14.00 น. มีรายละเอียดอย่างไร,พักการซื้อขาย คือ พักการซื้อขายระหว่างวัน,397,437
1345177.txt,การประเมินมูลค่าของ DW มีอะไรบ้าง,มีทั้ง Call DW และ Put DW,2597,2621
1345136.txt,ลักษณะของธุรกรรมซื้อคืน มีอะไรบ้าง,"*	เป็นการขายตราสารหนี้โดยมีสัญญาว่าจะซื้อคืนในวันที่กำหนด
		*	ตราสารหนี้ที่ขายส่วนใหญ่เป็นพันธบัตร
		*	วันที่กำหนดซื้อคืนนั้นเป็นระยะสั้น เช่น อีก 1 วัน, 7 วัน, 14 วัน
		*	ราคาที่ซื้อคืนจะสูงกว่าราคาที่ขายเสมือนเป็นดอกเบี้ยให้คู่สัญญา
		*	ธุรกรรมซื้อคืนเปรียบเสมือนการกู้ยืมระยะสั้นโดยใช้พันธบัตรมาค้ำประกัน",8029,8335
1345160.txt,กองทุนตราสารหนี้ (General Fixed Income Fund) คืออะไร,ลงทุนในตราสารหนี้ (ไม่กำหนดอายุคงเหลือและ Portfolio Duration),6011,6071
1345188.txt,ลักษณะการซื้อขายที่ไม่เป็นธรรมตามข้อกฎหมายของ พรบ. หลักทรัพย์และตลาดหลักทรัพย์ มีอะไรบ้าง,"*	การให้ข้อมูลเท็จเกี่ยวกับหลักทรัพย์
		*	การใช้ข้อมูลภายในเพื่อประโยชน์ในการซื้อขาย (Insider Trading)
		*	การปั่นหุ้น การซื้อขายเพื่อทำให้ผู้อื่นเข้าใจผิดเกี่ยวกับราคาหรือปริมาณการซื้อขาย",3675,3862
1345177.txt,ใครคือผู้ออกตราสาร DW,"ธนาคาร, บล.",1316,1326
1345140.txt,เอกสารแนบ คืออะไร,"เอกสารที่เป็นข้อมูลที่เกี่ยวข้อง เช่น งบการเงิน, สัญญาแต่งตั้งผู้แทนผู้ถือหุ้นกู้, รายงานเกี่ยวกับอันดับความน่าเชื่อถือ",1039,1157
1345136.txt,การชำระราคาและส่งมอบหลักทรัพย์แบบทีละรายการ (Gross Clearing) คืออะไร,"เป็นการชำระราคาและส่งมอบตราสารหนี้ภายใน 2 วันทำการซื้อขาย (อาจเป็นในวันที่ซื้อขาย, วันที่ T+1 หรือ T+2 ขึ้นอยู่กับการตกลงกันระหว่างผู้ซื้อและผู้ขาย) ซึ่งผู้ที่มีสิทธิเลือกวิธีนี้ต้องมีการซื้อขายตราสารหนี้มูลค่า ≥50 ล้านบาท",2773,2994
1345173.txt,กรณีบริษัทล้มละลาย ลำดับในการได้รับเงินมีอะไรบ้าง,1.ตราสารหนี้ที่มีการค้ำประกัน 2.หุ้นกู้ไม่ด้อยสิทธิ 3.หุ้นกู้ด้อยสิทธิ 4.หุ้นบุริมสิทธิ 5.หุ้นสามัญ,5755,5853
1345142.txt,การประเมินมูลค่าตราสารหนี้ หมายถึงอะไร,การหาราคาที่เหมาะสม (Fair Price หรือ Intrinsic Value) ของตราสารหนี้เพื่อใช้ประกอบการตัดสินใจลงทุน,85,181
1345173.txt,ตราสารหนี้ที่ไม่กำหนดอายุไถ่ถอน (Perpetual Bond) คืออะไร,ตราสารหนี้ที่จะชำระดอกเบี้ยไปตลอด และไม่มีการชำระเงินต้นคืน,2290,2348
1345177.txt,การปรับสิทธิเมื่อปันผลของDW เป็นอย่างไร,ปรับทุกกรณี,2068,2078
1345191.txt,ข้อมูลจากตลาดหลักทรัพย์ มีอะไรบ้าง,"1.	รายงานราคาซื้อขายหลักทรัพย์แบบ Real-time ทั้งตลาดตราสารทุน (SET/Mai), ตลาดตราสารหนี้ (BEX) และตลาดสัญญาซื้อขายล่วงหน้า (TFEX)
	2.	รายงานข้อมูลซื้อขายหลักทรัพย์สิ้นวัน ซึ่งจะรายงานภาพรวมและราคาปิดของตลาดตราสารทุน (SET/Mai), ตลาดตราสารหนี้ (BEX) และตลาดสัญญาซื้อขายล่วงหน้า (TFEX)
	3.	รายงานสารสนเทศของบริษัทจดทะเบียน เช่น ข้อมูลบริษัท, ลักษณะธุรกิจ, ข่าวสาร, งบการเงินของบริษัท
	4.	SETSMART คือ บริการด้านข้อมูลที่ตลาดหลักทรัพย์พัฒนาขึ้น เพื่อให้ข้อมูลซื้อขายหลักทรัพย์, ข้อมูลสารสนเทศของบริษัทจดทะเบียน รวมถึงสถิติต่างๆ ที่สำคัญ ในบริการเดียว โดย SETSMART ถูกออกแบบเป็น Web-based application",110,703
1345193.txt,ลักษณะของห้างหุ้นส่วนสามัญ คืออะไร,"*	เจ้าของ 2 คนขึ้นไป
		*	เจ้าของรับผิดชอบในหนี้สินทั้งหมด
		*	จะจดเบียนเป็นนิติบุคคลหรือไม่ก็ได้ (ไม่จดถือเป็นบุคคลธรรมดา หากจดถือเป็นนิติบุคคล)",330,473
1345193.txt,ลักษณะของบริษัทจำกัด คืออะไร,"*	เจ้าของ 3 คนขึ้นไป
		*	ต้องจดทะเบียนเป็นนิติบุคคล
		*	แบ่งทุนออกเป็นหุ้น ซึ่งแต่ละหุ้นมีราคาเท่ากัน เช่น แบ่งทุน 10 ล้านบาท ออกเป็น 1 ล้านหุ้น ราคาหุ้นละ 10 บาท
		*	มูลค่าที่ตราไว้ต่อหุ้น (ราคาหุ้นเริ่มต้น) ต้อง ≥ 5 บาท
		*	ผู้ถือหุ้นแต่ละคนรับผิดชอบหนี้สินจำกัด (เฉพาะเงินค่าหุ้นที่ยังส่งไม่ครบ)
		*	ข้อดีคือ หนี้สินแยกชัดเจนระหว่างกิจการกับตัวบุคคล
		*	ข้อเสียคือ กฎระเบียบเยอะ",709,1089
1345142.txt,การประเมินมูลค่าตราสารหนี้ทั่วไป ทำอย่างไร,คิดลดกระแสเงินสดที่จะทยอยได้รับในอนาคตกลับมาเป็นมูลค่าปัจจุบัน,416,477
1345160.txt,ลักษณะสำคัญของกองทุนรวมสินค้าโภคภัณฑ์ มีอะไรบ้าง,"*	ช่วยกระจายความเสี่ยงได้ดี เพราะมีค่า Correlation กับตราสารทุนและตราสารหนี้ ในระดับต่ำ
			*	ราคาสินค้าโภคภัณฑ์ส่วนใหญ่ ปรับตามเงินเฟ้อ
			*	มีความผันผวนสูง ตามความผันผวนของสินค้าโภคภัณฑ์
			*	กองทุนอาจนำเงินไปลงทุนในสินค้าโดยตรง (Physical Asset) หรือ ลงทุนในตราสารอนุพันธ์ที่ราคาอ้างอิงกับสินค้าโภคภัณฑ์ เพื่อลดความค่าใช้จ่ายและความยุ่งยากในการจัดเก็บสินค้า อย่างไรก็ตามราคาของตราสารอนุพันธ์อาจไม่สามารถปรับขึ้นลงตามราคาสินค้าโภคภัณฑ์ที่อ้างอิงได้อย่างสมบูรณ์
			*	กองทุนรวมสินค้าโภคภัณฑ์ในไทย",6612,7105
1345136.txt,ทำไมจึงต้องติดตามภาวะการซื้อขาย,เพื่อตรวจสอบคำสั่งซื้อขายที่ผิดปกติ,3473,3507
1345138.txt,รูปแบบการจัดจำหน่ายหลักทรัพย์ มีกี่รูปแบบ,3 รูป,2821,2825
1345173.txt,ตราสารหนี้ที่ไม่จ่ายดอกเบี้ย (Zero Coupon Bond) คืออะไร,ตราสารหนี้ที่ไม่มีการจ่ายดอกเบี้ยแต่จะเสนอขายในราคาที่ต่ำกว่าราคาหน้าตั๋ว ทำให้ผู้ลงทุนได้รับผลตอบแทนจากส่วนต่างราคา (Capital Gain),4429,4559
1345183.txt,Limit Price Order คืออะไร,"การส่งคำสั่งซื้อ/ขายที่มีการระบุราคาแน่นอน เช่น คำสั่งซื้อหุ้น A ที่ 10.20 บาท, คำสั่งขายหุ้น B ที่ราคา 20.20 บาท",1184,1296
1345188.txt,การกำกับดูแลการซื้อขายที่ดีส่งผลต่อบริษัทสมาชิก (บล.) อย่างไร,"รายได้ที่เพิ่มขึ้น จากจำนวนและปริมาณการลงทุนของผู้ลงทุนที่เพิ่มขึ้น
		*	บริษัทจดทะเบียน	สนใจนำบริษัทเข้ายจดทะเบียนในตลาดฯ มากขึ้น
	ระดมทุนได้ง่ายขึ้นตลาดทุนและเศรษฐกิจ
		*	ชาวต่างชาติมั่นใจและนำเงินเข้ามาลงทุนมากขึ้น
		*	ภาพลักษณ์ที่ดีต่อระบบการเงิน",4864,5112
1345150.txt,Net Asset Value (มูลค่าทรัพย์สินสุทธิ) คืออะไร,มูลค่าสินทรัพย์สุทธิตามมูลค่าตลาด ซึ่งเป็นหามูลค่าสินทรัพย์สุทธิโดยการใช้สินทรัพย์ตามราคาตลาด เพื่อแก้ไขจุดบกพร่องของ Book Value,712,839
1345188.txt,หลักการกำกับดูแลให้เกิดความเป็นธรรมแก่ผู้ลงทุนและผู้เกี่ยวข้องทุกฝ่าย มีกี่แนวทาง,2 แนวทาง,206,213
1345154.txt,การลงทุนแบบถัวเฉลี่ยต้นทุน (Dollar-Cost Averaging: DCA) มีวิธีการลงทุนอย่างไร,"*	การซื้อหุ้นด้วยจำนวนเงินเท่าๆ กัน ตามกำหนดเวลา (เช่น ซื้อเท่าๆ กันทุกเดือน) โดยไม่สนใจว่าราคาจะเป็นเท่าไร
	*	การซื้อด้วยเงินที่เท่ากัน ผู้ลงทุนจะได้หุ้นจำนวนที่มากขึ้นเมื่อหุ้นราคาต่ำลง และได้หุ้นจำนวนน้อยลงเมื่อราคาสูงขึ้น
	*	ความเสี่ยงจากการลงทุนลดลง เนื่องจากผู้ลงทุนจะไม่นำเงินลงทุนก้อนใหญ่ไปซื้อหุ้นเมื่อมีราคาแพง แต่จะมีกระจายการซื้อในหลายๆ ระดับราคา",2550,2907
1345148.txt,ผู้ลงทุนสามารถตัดสินใจซื้อเมื่อใด,เมื่อราคาตลาด (Market Price) < มูลค่าที่แท้จริง (Intrinsic Value),276,340
1345138.txt,นายหน้าค้าตราสารหนี้ มีรายได้จากส่วนใด,"ค่านายหน้า, ค่าธรรมเนียม",2489,2512
1345136.txt,NP หมายถึงอะไร,กำลังรอข้อมูลที่บริษัทต้องรายงานต่อตลาด TBX,2200,2242
1345173.txt,ตราสารหนี้ภาครัฐ คืออะไร,"ตราสารหนี้ที่ออกโดยภาครัฐ (กระทรวงการคลัง, รัฐวิสาหกิจ, ธนาคารแห่งประเทศไทย) ซึ่งในทางทฤษฎีแล้วถือว่าเป็นตราสารที่ปราศจากความเสี่ยงในการผิดนัดชำระหนี้",2400,2549
